threshold,f1,recall,precision
0.1,0.37067209775967414,1.0,0.2275
0.11,0.37067209775967414,1.0,0.2275
0.12,0.37067209775967414,1.0,0.2275
0.13,0.37067209775967414,1.0,0.2275
0.14,0.37067209775967414,1.0,0.2275
0.15,0.37067209775967414,1.0,0.2275
0.16,0.37067209775967414,1.0,0.2275
0.17,0.37067209775967414,1.0,0.2275
0.18,0.37067209775967414,1.0,0.2275
0.19,0.37067209775967414,1.0,0.2275
0.2,0.37067209775967414,1.0,0.2275
0.21,0.37067209775967414,1.0,0.2275
0.22,0.37067209775967414,1.0,0.2275
0.23,0.37067209775967414,1.0,0.2275
0.24,0.37067209775967414,1.0,0.2275
0.25,0.37067209775967414,1.0,0.2275
0.26,0.37067209775967414,1.0,0.2275
0.27,0.37067209775967414,1.0,0.2275
0.28,0.37092391304347827,1.0,0.22768974145120935
0.29,0.37193460490463215,1.0,0.22845188284518828
0.3,0.3731138545953361,0.9963369963369964,0.22953586497890296
0.31,0.37196391394864675,0.9816849816849816,0.22945205479452055
0.32,0.37281009110021024,0.9743589743589743,0.23050259965337955
0.33,0.37464387464387466,0.9633699633699634,0.23253757736516356
0.34,0.37782640408460977,0.9487179487179487,0.23588342440801457
0.35,0.3830734966592428,0.945054945054945,0.24022346368715083
0.36,0.38022813688212925,0.9157509157509157,0.2399232245681382
0.37,0.38533541341653665,0.9047619047619048,0.244796828543112
0.38,0.3868378812199037,0.8827838827838828,0.24768756423432683
0.39,0.39072847682119205,0.8644688644688645,0.25240641711229944
0.4,0.39417309340188517,0.8424908424908425,0.25727069351230425
0.41,0.40213523131672596,0.8278388278388278,0.26556991774383076
0.42,0.40515653775322286,0.8058608058608059,0.27060270602706027
0.43,0.3945841392649903,0.7472527472527473,0.2680683311432326
0.44,0.40404040404040403,0.7326007326007326,0.2789400278940028
0.45,0.4025695931477516,0.6886446886446886,0.2844175491679274
0.46,0.3991031390134529,0.652014652014652,0.2875605815831987
0.47,0.3956574185765983,0.6007326007326007,0.2949640287769784
0.48,0.39648682559598497,0.5787545787545788,0.3015267175572519
0.49,0.3984375,0.5604395604395604,0.3090909090909091
0.5,0.4076086956521739,0.5494505494505495,0.32397408207343414
0.51,0.403899721448468,0.5311355311355311,0.3258426966292135
0.52,0.39655172413793105,0.5054945054945055,0.3262411347517731
0.53,0.39644970414201186,0.4908424908424908,0.3325062034739454
0.54,0.38461538461538464,0.45787545787545786,0.33156498673740054
0.55,0.36741214057507987,0.42124542124542125,0.32577903682719545
0.56,0.3606010016694491,0.3956043956043956,0.3312883435582822
0.57,0.3475177304964539,0.358974358974359,0.33676975945017185
0.58,0.3159922928709056,0.30036630036630035,0.3333333333333333
0.59,0.29690721649484536,0.26373626373626374,0.33962264150943394
0.6,0.24489795918367346,0.1978021978021978,0.32142857142857145
0.61,0.19948849104859334,0.14285714285714285,0.3305084745762712
0.62,0.1568627450980392,0.10256410256410256,0.3333333333333333
0.63,0.10843373493975904,0.06593406593406594,0.3050847457627119
0.64,0.0761904761904762,0.04395604395604396,0.2857142857142857
0.65,0.03934426229508197,0.02197802197802198,0.1875
0.66,0.02711864406779661,0.014652014652014652,0.18181818181818182
0.67,0.014388489208633094,0.007326007326007326,0.4
0.68,0.0,0.0,0.0
0.69,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.71,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.83,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
